BROKERTITLE,count,median
listwithfreedom com inc,1,600000.0
lakeshore,1,859000.0
landmark,1,725000.0
landseair real estate,1,130000.0
landseair real estate  inc bronx little italy office,1,119888.0
exit team,1,1900000.0
extell marketing,1,2265000.0
ez premier,1,1002500.0
f g volpe servicing staten island,1,924800.0
hand in hand real estate,1,699900.0
harbor,1,3895000.0
hauseit,1,995000.0
hayliam,1,779000.0
llk homes inc,1,209000.0
local,1,155000.0
garden square,1,550000.0
fine choice inc,1,799000.0
first class homes inc,1,769000.0
first home equity,1,1899000.0
five towns miller inc,1,759000.0
flat rate of queens ltd,1,169000.0
migrate,1,1099000.0
marlin inc,1,2250000.0
martini real estate martini real estate,1,1325000.0
mattia inc,1,2749000.0
lopez team inc,1,119000.0
luxdeal,1,385000.0
m holmes corp,1,499000.0
manhattan network inc,1,479900.0
genstone,1,625000.0
gerard r desgranges,1,395000.0
get listed,1,1400000.0
gibbs yvonne,1,179000.0
four seasons team,1,1510000.0
foxr fox rential,1,620000.0
g g caleca,1,650000.0
gang jason a,1,270000.0
evergreen investments,1,31500000.0
empire fine homes,1,899000.0
empire home sales inc,1,969999.0
encore real estate,1,989000.0
engel volkers americas,1,375000.0
engel volkers brownstone brooklyn,1,215000.0
epic homes ny,1,1499999.0
epiphany,1,650000.0
mega homes inc,1,1095000.0
metro net,1,705000.0
metro real estate inc,1,719000.0
meyers enterprise,1,119000.0
michael a kaufman licensed real estate broker,1,1250000.0
exit central,1,2225000.0
era insite services,1,229000.0
eva real estate,1,550000.0
exit alliance,1,199000.0
mp power,1,167999.0
mq m q,1,3750000.0
my home advisors,1,1099000.0
myrta55 real estate myrta 55 real estate,1,539000.0
nardin elite  inc,1,449500.0
monopoly inc,1,1350000.0
mont sky real estate hudson,1,899000.0
dom of ny inc,1,925000.0
dove real estate corp,1,2100000.0
drop key,1,599000.0
exit home key,1,549990.0
exit limitless,1,2780000.0
exit premium,1,900000.0
exclusive  inc,1,179000.0
exit,1,369000.0
nella management,1,300000.0
neman yoska,1,149000.0
neponsit inc,1,699000.0
du chris,1,230000.0
du rite company,1,769000.0
duradox management,1,749999.0
dynamik real estate,1,3695000.0
dynasty real estate inc,1,699998.0
mark murphy,1,378888.0
nest seekers  southampton,1,299000.0
nest seekers bedford stuyvesant,1,370000.0
nest seekers westchester,1,925000.0
nestapple,1,620000.0
netter real estate inc,1,848724.0
nardoni inc,1,799000.0
native real estate native real estate,1,3850000.0
empire city,1,860000.0
e house of avenue u inc,1,850000.0
east point,1,940000.0
ebmg,1,219000.0
ny management,1,2499000.0
new york rence,1,12000000.0
new york way real estate corp,1,285000.0
new american corp,1,1375000.0
contact ii corp,1,288000.0
continental real estate,1,899000.0
continental real estate grp in,1,1649000.0
coordinate,1,1250000.0
elite home sales inc,1,1248000.0
elite of usa inc,1,989000.0
elite synergy inc,1,689000.0
elizabeth marra,1,750000.0
northshore,1,549000.0
ny home ventures,1,202000.0
desimone real estate,1,669000.0
deutsch,1,2350000.0
core family,1,965000.0
cross island one inc,1,1399000.0
cruz network cruse,1,549000.0
cruz network the bronx,1,749000.0
moorstone real estate,1,399999.0
nyc elite homes inc,1,650000.0
nyc empire inc,1,700000.0
official,1,8575000.0
olam,1,499000.0
one global corp,1,380000.0
nexthome rential,1,265000.0
north east queens corp,1,518000.0
property professionals,1,263000.0
prospect we inc,1,599000.0
ps 91 real estate,1,569000.0
pyramid home corp,1,499900.0
prince  grp,1,699900.0
private homes,1,269000.0
project queens,1,898888.0
classic homes and,1,1100000.0
panache co,1,649000.0
papa,1,498000.0
onekey mls foxworth inc,1,295500.0
onekey mls realmart,1,4680000.0
only nine,1,275000.0
ooakb f inc,1,395995.0
ortiz home selling team,1,279900.0
our community ltd,1,699000.0
papp,1,639000.0
park of queens inc,1,669000.0
parkchester bronx inc,1,215000.0
paulema  inc,1,2999950.0
peace of mind,1,750000.0
peerless  corp,1,950000.0
pemberley estates inc,1,1199000.0
owner entry com,1,749000.0
new home connections inc,1,1100000.0
new prospective inc,1,350000.0
new york 1 homes network inc,1,1325000.0
perfect  corp,1,599000.0
platinum  of long island,1,329000.0
platinum plus,1,355000.0
platinum star of grt ny,1,398000.0
platzner,1,165000.0
premier homes pros,1,499999.0
premier south shore,1,720000.0
premiere real estate  inc,1,479000.0
prereal prendamano real estate,1,3950000.0
realty central,1,1250000.0
realty executives lar,1,1249000.0
realty executives powerhouse,1,485000.0
realty network of n y corp,1,925000.0
daxi home management,1,928500.0
debtfreesolutions,1,529000.0
property professional,1,1149999.0
prime homes,1,425000.0
prime time real estate inc,1,725000.0
primerock real estate  inc,1,349000.0
plaza island,1,669000.0
ppad park property advisors,1,2250000.0
chris homes lands inc,1,799000.0
christie s  real estate new york,1,950000.0
diane ltd,1,529000.0
digs digs  email,1,779000.0
direct access real estate inc,1,768000.0
dnls real estate mgmt,1,349999.0
dolly lenz real estate,1,6500000.0
dawning real estate inc,1,699000.0
