BROKERTITLE,TYPE,PRICE,BEDS,BATH,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PROPERTYM2,BOROUGH,price_outlier,PROPERTYM2_log,price_per_m2
douglas elliman,house,55000000,8,8,"25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322,1114.836,Manhattan,True,3.0472109843944346,49334.61065125274
brown harris stevens,co op,280000,1,1,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837,92.903,Brooklyn,False,1.9680297383468097,3013.8962143310764
top choice,house,899000,3,2,"40 Adelphi Ave, Staten Island, NY 10309, USA",40.5159004,-74.2314825,133.78032,Staten Island,False,2.1263922304420593,6719.971965981245
amerihomes,house,1495000,4,2,"31 4 Ct, Staten Island, NY 10312, USA",40.5247627,-74.1681035,278.709,Staten Island,False,2.445150993066472,5364.01766717257
douglas elliman,house,3950000,5,2,"591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375,327.761784,Brooklyn,True,2.515558314806592,12051.435502315915
avenues headquarters,condo,325000,2,1,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257,90.952037,Manhattan,False,1.9588124301499474,3573.3119424252145
sotheby's,townhouse,2695000,6,5,"327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514,438.50216,Manhattan,False,2.6419717369808975,6145.921835367926
compass,house,694000,3,3,"364 Armstrong Ave, Staten Island, NY 10308, USA",40.5423126,-74.1555672,126.34808,Staten Island,False,2.101568646717027,5492.762533471027
douglas elliman,house,688888,4,2,"761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768,264.401938,Bronx,False,2.4222646340950753,2605.457453190075
sowae corp,house,400000,4,2,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867,183.94794,Brooklyn,False,2.264694928608341,2174.528293168165
sowae corp,multi family home,346000,5,2,"103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042,202.91946300338603,Queens,False,2.307323704350202,1705.1099725915717
sowae corp,house,265000,3,1,"135-38 224th St, Jamaica, NY 11413, USA",40.67538,-73.7472571,202.91946300338603,Queens,False,2.307323704350202,1305.9368287189784
winzone inc,house,319000,3,2,"57 Neutral Ave, Staten Island, NY 10306, USA",40.5604695,-74.1018925,113.713272,Staten Island,False,2.055811156156352,2805.301389973195
corcoran,townhouse,24800000,6,8,"45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462,202.91946300338603,Manhattan,True,2.307323704350202,122215.97491407797
exp,house,1100000,9,4,"421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229,304.350228,Manhattan,False,2.4833736314351906,3614.257190567966
sowae corp,multi family home,309000,6,2,"29-18 Brookhaven Ave, Far Rockaway, NY 11691, USA",40.5980695,-73.7632649,202.91946300338603,Queens,False,2.307323704350202,1522.7716229213747
keller williams,house,650000,3,2,"237-14 93rd Rd, Jamaica, NY 11426, USA",40.723245,-73.7293286,141.398366,Queens,False,2.1504443907813635,4596.941381911019
rise,house,799000,4,2,"604 Lamont Ave, Staten Island, NY 10312, USA",40.5387812,-74.193378,183.483425,Staten Island,False,2.263596838309289,4354.616772604937
berkshire hathaway homeservices new york  eastchester,co op,259000,3,2,"7C Edgewater Park, Bronx, NY 10465, USA",40.8246371,-73.8072061,101.171367,Bronx,False,2.0050576181025845,2560.012854229794
ditommaso real estate,house,1195000,4,4,"52 Indale Ave, Staten Island, NY 10309, USA",40.5143019,-74.2044734,251.209712,Staten Island,False,2.400036425616408,4756.981688669744
serhant,condo,17500000,5,6,"37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443,510.873597,Manhattan,True,2.7083134580286887,34255.04880809098
salmon,condo,189000,2,2,"20 Cliff St #6b, Staten Island, NY 10305, USA",40.6109595,-74.060351,89.744298,Staten Island,False,1.953006864762303,2105.9833795791683
midas,condo,759000,3,2,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051,111.4836,Queens,False,2.0472109843944346,6808.176269872878
only nine,house,275000,4,1,"579 E 29th St, Brooklyn, NY 11210, USA",40.6366859,-73.9488175,202.91946300338603,Brooklyn,False,2.307323704350202,1355.2174637649775
compass,condo,499000,1,1,"157 E 72nd St #8i, New York, NY 10021, USA",40.7702318,-73.9610161,58.52889,Manhattan,False,1.7673702878003914,8525.704143714327
trebach inc,house,1249000,3,2,"3021 Arlington Ave, Bronx, NY 10463, USA",40.8822913,-73.9137305,202.91946300338603,Bronx,False,2.307323704350202,6155.151317245298
utopia real estate,co op,69900,2,1,"61 Edgewater Park, Bronx, NY 10465, USA",40.8224987,-73.8111568,65.0321,Bronx,False,1.8131277783610664,1074.8538029680726
rock inc,multi family home,1150000,12,6,"32-40 48th St, Long Island City, NY 11103, USA",40.755049,-73.9136386,511.709724,Queens,False,2.7090236699316956,2247.367884687687
charles h greenthal property,co op,1399000,3,4,"26910 Grand Central Pkwy Apt 21n, Queens, NY 11005, USA",40.7566899,-73.72075,185.155679,Queens,False,2.267537037047297,7555.803891923833
douglas elliman,condo,649000,3,2,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",40.7302938,-73.8059248,109.811346,Queens,False,2.0406472148920463,5910.136098322663
ww  inc,house,499000,5,2,"2774 Marion Ave, Bronx, NY 10458, USA",40.8663864,-73.8878945,163.50928,Bronx,False,2.2135424061609594,3051.8145514431967
sotheby's,multi family home,1050000,5,4,"2818 Miles Ave, Bronx, NY 10465, USA",40.8176549,-73.8197053,290.972196,Bronx,False,2.4638514917327154,3608.592210645446
compass,townhouse,5000000,10,9,"137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047,596.901775,Manhattan,True,2.7759028703501416,8376.587588468805
douglas elliman,house,56000000,11,10,"9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913,2229.672,Manhattan,True,3.348240980058416,25115.801786092303
