BROKERTITLE,TYPE,PRICE,BEDS,BATH,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PROPERTYM2,BOROUGH,price_outlier,PROPERTYM2_log,price_per_m2
compass,co op,749000,1,1,"57 Thompson St #2b, New York, NY 10012, USA",40.7241044,-74.0035529,202.91946300338603,Manhattan,False,2.307323704350202,3691.119564945339
exit first choice,house,2488000,4,2,"232 Beaumont St, Brooklyn, NY 11235, USA",40.5762337,-73.9511136,357.67655,Brooklyn,False,2.5534904678553105,6956.005362945935
e  corp,multi family home,1138000,5,3,"1520 63rd St, Brooklyn, NY 11219, USA",40.6240315,-73.9954118,95.318478,Brooklyn,False,1.979177099122607,11938.923321876793
city homes,multi family home,1359000,11,6,"1353 Putnam Ave, Brooklyn, NY 11221, USA",40.6941915,-73.913053,208.10272,Brooklyn,False,2.3182777566809722,6530.428818998617
compass,multi family home,3720000,8,8,"29 Essex St, New York, NY 10002, USA",40.7158959,-73.989796,510.9665,Manhattan,True,2.7083924278410536,7280.320725527016
exit achieve,multi family home,974998,7,2,"759 Glenmore Ave, Brooklyn, NY 11208, USA",40.675444,-73.8823121,202.91946300338603,Brooklyn,False,2.307323704350202,4804.852060857911
compass,co op,300000,3,1,"599 E 7th St #4g, Brooklyn, NY 11218, USA",40.6372695,-73.9712947,55.7418,Brooklyn,False,1.7461809887304531,5381.957525591209
getmore inc,house,729000,3,3,"110-36 199th St, Jamaica, NY 11412, USA",40.7052223,-73.7583006,202.91946300338603,Queens,False,2.307323704350202,3592.5582948533406
sotheby's,co op,750000,2,2,"575 Park Ave # 1508, New York, NY 10065, USA",40.7651716,-73.9678719,202.91946300338603,Manhattan,False,2.307323704350202,3696.0476284499387
ditommaso real estate,house,599000,3,2,"45 Bogota St, Staten Island, NY 10314, USA",40.5863749,-74.1470603,104.05136,Staten Island,False,2.0172477610169914,5756.772424694881
sotheby's,townhouse,11950000,6,5,"27 E 73rd St, New York, NY 10021, USA",40.772751,-73.9650884,495.730408,Manhattan,True,2.695245559255302,24105.844239435883
corcoran,co op,825000,1,2,"180 East End Ave #18h, New York, NY 10128, USA",40.7766673,-73.9439269,102.1933,Manhattan,False,2.0094224235050344,8072.9362883868125
soverign homes inc,house,800000,3,2,"742 Lexington Ave, Brooklyn, NY 11221, USA",40.6899365,-73.9294828,202.91946300338603,Brooklyn,False,2.307323704350202,3942.450803679935
brown harris stevens,co op,289000,3,1,"36 Dahill Rd #1l, Brooklyn, NY 11218, USA",40.646116,-73.98134,202.91946300338603,Brooklyn,False,2.307323704350202,1424.2103528293765
douglas elliman,condo,4750000,4,4,"116 W 14th St FL 4, New York, NY 10011, USA",40.7375173,-73.9979625,380.9023,Manhattan,True,2.580813595066545,12470.389388564994
douglas elliman,co op,899999,2,1,"224 E 11th St Apt 22, New York, NY 10003, USA",40.7308571,-73.9878596,202.91946300338603,Manhattan,False,2.307323704350202,4435.252226076422
hauseit hauseit,townhouse,868000,2,2,"58-36 79th St, Flushing, NY 11379, USA",40.7259203,-73.8814296,107.024256,Queens,False,2.029482217434003,8110.31099342564
compass,condo,3995000,3,3,"450 W 17th St APT 1709, New York, NY 10011, USA",40.7435613,-74.0063336,152.082211,Manhattan,True,2.182078417758751,26268.687006398137
exp,house,1500000,3,2,"243 Bay 13th St, Brooklyn, NY 11214, USA",40.6045606,-74.0114555,115.19972,Brooklyn,False,2.0614514235090446,13020.864981269051
south,house,625000,4,2,"1797 Troy Ave, Brooklyn, NY 11234, USA",40.6283989,-73.9334448,202.91946300338603,Brooklyn,False,2.307323704350202,3080.039690374949
exp,house,520000,3,2,"503 E 182nd St, Bronx, NY 10457, USA",40.8536129,-73.8933593,158.399615,Bronx,False,2.1997541216753262,3282.836261944197
exp,multi family home,749900,5,2,"159 Montauk Ave., Brooklyn, NY 11208, USA",40.6754664,-73.8780744,130.0642,Brooklyn,False,2.1141577740250477,5765.614212058353
re/max,multi family home,799000,6,4,"669 E 237th St, Bronx, NY 10466, USA",40.897885,-73.8562199,214.60593,Bronx,False,2.331641718238954,3723.1030848029222
charles h greenthal property,co op,959000,3,4,"27110 Grand Central Pkwy #11, Queens Village, NY 11005, USA",40.7564761,-73.7212008,185.155679,Queens,False,2.267537037047297,5179.425255435995
mitra hakimi,multi family home,888000,5,3,"228 E 89th St, Brooklyn, NY 11236, USA",40.6484284,-73.9166783,276.85094,Brooklyn,False,2.4422460024230648,3207.5022031711364
prime time real estate inc,house,725000,2,2,"51 Bedford Ave, Staten Island, NY 10306, USA",40.5821761,-74.1078688,91.788164,Staten Island,False,1.9627866829344378,7898.6218746024815
brown harris stevens,condo,1065000,2,2,"One Carnegie Hill, 215 E 96th St #25c, New York, NY 10128, USA",40.7850141,-73.9481639,202.91946300338603,Manhattan,False,2.307323704350202,5248.3876323989125
douglas elliman,townhouse,19995000,7,6,"14 E 81st St, New York, NY 10028, USA",40.7777833,-73.962008,761.8046,Manhattan,True,2.881843590730526,26246.887981511267
keller williams,condo,744000,2,1,"32-86 33rd St d7, Astoria, NY 11106, USA",40.7592629,-73.9257407,82.68367,Queens,False,1.9174197449917225,8998.149211325524
douglas elliman,condo,4595000,4,4,"619 E 6th St #1, New York, NY 10009, USA",40.7241883,-73.9804574,283.539956,Manhattan,True,2.4526142676296523,16205.828853271036
5 boro corp,co op,475000,1,1,"213 Eastern Pkwy #2, Brooklyn, NY 11238, USA",40.671881,-73.961562,202.91946300338603,Brooklyn,False,2.307323704350202,2340.8301646849613
progress inc,co op,189000,2,1,"756 Brady Ave Apt 307, Bronx, NY 10462, USA",40.8522362,-73.8655005,74.3224,Bronx,False,1.8711197253387533,2542.974930841846
first class enterprises,house,998888,4,3,"115-04 144th St, Jamaica, NY 11436, USA",40.682563,-73.799077,202.91946300338603,Queens,False,2.307323704350202,4922.583497982803
reserve,co op,32000000,4,6,"383 W Broadway, New York, NY 10012, USA",40.7237571,-74.0021582,696.7725,Manhattan,True,2.8430910017385096,45926.03755171164
exp,multi family home,3250000,6,4,"68 Clifton Pl, Brooklyn, NY 11238, USA",40.6877385,-73.9618932,284.190277,Brooklyn,True,2.4536092153314883,11435.999972652126
berkshire hathaway homeservices cangiano estates,multi family home,769000,7,2,"222 Gordon St, Staten Island, NY 10304, USA",40.6219621,-74.0832854,195.09629999999999,Staten Island,False,2.290249033080729,3941.643178266323
exp,house,648998,3,2,"1361 Waring Ave, Bronx, NY 10469, USA",40.8611669,-73.8467192,120.402288,Bronx,False,2.080634739881384,5390.246404619819
top nest inc,house,1699900,7,5,"186 Covert St., Brooklyn, NY 11207, USA",40.6898884,-73.9085265,224.639454,Brooklyn,False,2.3514860348715625,7567.2370535587215
douglas elliman,co op,395250,1,1,"3185 Crescent St Apt 410, Astoria, NY 11106, USA",40.7642499,-73.92761,60.38695,Queens,False,1.7809430949896652,6545.2883445843845
heisman,house,539000,3,2,"84 Nautilus St, Staten Island, NY 10305, USA",40.6104417,-74.0628522,90.301716,Staten Island,False,1.9556960032730841,5968.878819534282
daniel gale of brooklyn,townhouse,1348000,5,2,"46-03 104th St, Flushing, NY 11368, USA",40.7462947,-73.8595834,202.91946300338603,Queens,False,2.307323704350202,6643.029604200689
canaan,condo,1450000,3,3,"40-26 College Point Blvd #18d, Flushing, NY 11354, USA",40.7573108,-73.8341865,172.335065,Queens,False,2.2363736522978743,8413.84195375445
exp,co op,465000,2,1,"37-50 87th St, Jackson Heights, NY 11372, USA",40.7483992,-73.8795703,202.91946300338603,Queens,False,2.307323704350202,2291.5495296389618
keller williams,condo,6500000,2,2,"1600 Broadway Ph 4b, New York, NY 10019, USA",40.7601885,-73.9843625,152.268017,Manhattan,True,2.1826086919173084,42687.887634341496
keller williams,co op,297000,1,1,"10236 64th Ave Apt 4d, Forest Hills, NY 11375, USA",40.7322799,-73.85181,74.3224,Queens,False,1.8711197253387533,3996.103462751472
miller miller real estate,co op,244900,1,1,"260-46 73rd Ave a1, Glen Oaks, NY 11004, USA",40.7511183,-73.7160095,48.123754,Queens,False,1.6823594980920427,5088.962926707672
e  corp,house,2480000,4,4,"149-37 9th Ave, Flushing, NY 11357, USA",40.7932103,-73.8161976,478.45045,Queens,False,2.6798369673880007,5183.399869307261
coldwell banker,co op,230000,1,1,"108-50 62nd Dr #3a, Flushing, NY 11375, USA",40.736005,-73.849174,202.91946300338603,Queens,False,2.307323704350202,1133.4546060579812
corcoran,condo,780000,2,2,"618 Avenue H, Brooklyn, NY 11230, USA",40.6288601,-73.9704912,76.644975,Brooklyn,False,1.8844836868967347,10176.79241202701
corcoran,townhouse,4875000,3,3,"130 E 38th St, New York, NY 10016, USA",40.748964,-73.978301,202.91946300338603,Manhattan,True,2.307323704350202,24024.309584924602
compass,co op,539999,3,2,"33-04 93rd St Apt 6N, Jackson Heights, NY 11372, USA",40.7563263,-73.8752379,202.91946300338603,Queens,False,2.307323704350202,2661.149364420451
compass,co op,750000,2,2,"2621 Palisade Ave #16a, Bronx, NY 10463, USA",40.8825618,-73.9212739,110.833279,Bronx,False,2.0446701820171516,6766.920610550555
the agency,condo,2249000,2,3,"211 Madison Ave #22a, New York, NY 10016, USA",40.7486775,-73.9819284,215.627863,Manhattan,False,2.3337048788027275,10430.006441236215
tapestry real estate of queens,co op,270000,2,1,"21-78 35th St #5f, Astoria, NY 11105, USA",40.7751901,-73.9090015,65.0321,Queens,False,1.8131277783610664,4151.795805456075
compass,co op,1950000,2,2,"56 Jane St #4e, New York, NY 10014, USA",40.7380264,-74.0053843,202.91946300338603,Manhattan,False,2.307323704350202,9609.72383396984
macaluso,co op,240000,2,1,"83-85 Woodhaven Blvd #2s, Woodhaven, NY 11421, USA",40.6987743,-73.8529203,202.91946300338603,Queens,False,2.307323704350202,1182.7352411039803
century homes,condo,628000,3,2,"82-25 Queens Blvd #3b, Elmhurst, NY 11373, USA",40.7376925,-73.8803546,83.6127,Queens,False,1.9222722477861345,7510.820724602841
compass,co op,399000,2,1,"34-10 94th St #2d, Flushing, NY 11372, USA",40.7544847,-73.8740993,202.91946300338603,Queens,False,2.307323704350202,1966.2973383353674
j home,house,687000,2,1,"57 Shore Dr, Bronx, NY 10465, USA",40.8214203,-73.8062717,202.91946300338603,Bronx,False,2.307323704350202,3385.5796276601436
re/max,townhouse,588000,2,2,"19 Teri Ct, Staten Island, NY 10314, USA",40.5904561,-74.1521059,185.806,Staten Island,False,2.2690597340107908,3164.59102504763
citywide homes,multi family home,825000,5,3,"1221 Manor Ave, Bronx, NY 10472, USA",40.8296973,-73.8768124,202.91946300338603,Bronx,False,2.307323704350202,4065.6523912949324
han tang inc,condo,285000,2,1,"1527 Metropolitan Ave #4g, Bronx, NY 10462, USA",40.8396194,-73.8587548,77.574005,Bronx,False,1.8897162138304118,3673.9111252538787
compass,condo,595000,3,1,"609 Myrtle Ave C1, Brooklyn, NY 11205, USA",40.6944083,-73.9595899,85.00624499999999,Brooklyn,False,1.9294508324132578,6999.485743665069
continental real estate,condo,899000,2,2,"90 Bay Street Landing #5a, Staten Island, NY 10301, USA",40.6403656,-74.0737574,157.65639099999999,Staten Island,False,2.1977115806644854,5702.2743848043565
sotheby's,townhouse,2995000,5,2,"234 W 138th St, New York, NY 10030, USA",40.8178071,-73.9440991,455.2247,Manhattan,False,2.6582258183753233,6579.168485365579
e  corp,house,1180000,4,3,"73-27 193rd St, Flushing, NY 11366, USA",40.7335974,-73.7788656,202.91946300338603,Queens,False,2.307323704350202,5815.114935427903
virginia rallis,co op,130000,1,1,"5 Fordham Hill Oval #11h, Bronx, NY 10468, USA",40.8653458,-73.9073691,202.91946300338603,Bronx,False,2.307323704350202,640.6482555979894
astor brokerage ltd,house,849999,3,2,"147-20 76th Rd, Flushing, NY 11367, USA",40.7226341,-73.8165656,202.91946300338603,Queens,False,2.307323704350202,4188.849050846426
compass,co op,185000,1,1,"3123 Bailey Ave, Bronx, NY 10463, USA",40.8789917,-73.9020914,78.96755,Bronx,False,1.8974486640611024,2342.734452316173
nobroker,house,1275000,4,2,"87-66 257th St, Queens, NY 11001, USA",40.7289806,-73.7083891,202.91946300338603,Queens,False,2.307323704350202,6283.280968364896
robert defalco inc,multi family home,2798000,5,3,"1603 11th Ave, Brooklyn, NY 11215, USA",40.657854,-73.975525,315.8702,Brooklyn,False,2.499508655389065,8858.06891564953
getmore inc,co op,359000,2,1,"141-9 28th Ave #1d, Flushing, NY 11354, USA",40.7733297,-73.8274665,88.25785,Queens,False,1.9457533436356573,4067.626845657355
e  corp,house,988000,3,1,"43-64 Bowne St, Flushing, NY 11355, USA",40.7540089,-73.8189203,120.402288,Queens,False,2.080634739881384,8205.824128524866
compass,co op,800000,1,1,"324 E 41st St #1101, New York, NY 10017, USA",40.7486602,-73.9720523,202.91946300338603,Manhattan,False,2.307323704350202,3942.450803679935
redfin real estate,co op,400000,2,1,"3449 81st St Apt 5s, Jackson Heights, NY 11372, USA",40.7536299,-73.88596,202.91946300338603,Queens,False,2.307323704350202,1971.2254018399674
core family,multi family home,965000,5,3,"1027 Ward Ave, Bronx, NY 10472, USA",40.8247021,-73.8766066,327.01856,Bronx,False,2.5145724018249407,2950.9028478383616
bergen basin,multi family home,1389000,5,2,"3824 Quentin Rd, Brooklyn, NY 11234, USA",40.6157428,-73.9345355,224.082036,Brooklyn,False,2.350407041814923,6198.622722260521
howard hanna rand,condo,525000,3,2,"170-174 Mermaid Ln #270, Bronx, NY 10473, USA",40.807969,-73.854213,110.09005499999999,Bronx,False,2.0417480886929322,4768.823123941577
corcoran,multi family home,10000000,7,8,"35 W 11th St, New York, NY 10011, USA",40.734814,-73.996305,202.91946300338603,Manhattan,True,2.307323704350202,49280.63504599918
keller williams,co op,279000,2,1,"73- 22 220th St, Oakland Gardens, NY 11364, USA",40.7408626,-73.7553116,202.91946300338603,Queens,False,2.307323704350202,1374.929717783377
corcoran,townhouse,15995000,5,2,"65 Bedford St, New York, NY 10014, USA",40.7311289,-74.0048678,202.91946300338603,Manhattan,True,2.307323704350202,78824.3757560757
ritz ny corp,multi family home,1850000,3,4,"6704 21st Ave, Brooklyn, NY 11204, USA",40.6140608,-73.9853215,202.91946300338603,Brooklyn,False,2.307323704350202,9116.91748350985
weichert realtors the franzese,multi family home,2599000,11,6,"20-61 49th St, Astoria, NY 11105, USA",40.7709381,-73.8973789,472.690464,Queens,False,2.674576840987167,5498.312739391332
douglas elliman,co op,250000,1,1,"1250 Ocean Pkwy #3j, Brooklyn, NY 11230, USA",40.6180698,-73.9699744,74.3224,Brooklyn,False,1.8711197253387533,3363.723453494505
corcoran,co op,2250000,3,2,"120 Prospect Park W, Brooklyn, NY 11215, USA",40.665708,-73.976288,185.806,Brooklyn,False,2.2690597340107908,12109.404432580217
chase global corp,multi family home,1800000,9,7,"23-16 36th St, Astoria, NY 11105, USA",40.7723063,-73.9110206,202.91946300338603,Queens,False,2.307323704350202,8870.514308279853
buzz,co op,350000,3,2,"1200 E 53rd St #4c, Brooklyn, NY 11234, USA",40.6297036,-73.9255951,102.1933,Brooklyn,False,2.0094224235050344,3424.88206173986
continental real estate grp in,house,1649000,4,3,"927 Hart St, Brooklyn, NY 11237, USA",40.7039659,-73.9210676,134.895156,Brooklyn,False,2.1299963547108844,12224.308484435129
charles rutenberg inc,house,1370000,6,3,"85-65 159th St, Jamaica, NY 11432, USA",40.7102471,-73.8049849,202.91946300338603,Queens,False,2.307323704350202,6751.447001301888
listed new york elite inc,co op,360000,2,1,"128 W 138th St #1, New York, NY 10030, USA",40.8165004,-73.9411037,202.91946300338603,Manhattan,False,2.307323704350202,1774.1028616559706
anne anne weintraub,co op,1050000,1,1,"Glucksman Ireland House, 1 5th Ave #10c, New York, NY 10003, USA",40.7316673,-73.996478,202.91946300338603,Manhattan,False,2.307323704350202,5174.466679829914
compass,condo,2200000,2,2,"32 E 76th St APT 805, New York, NY 10021, USA",40.7740269,-73.9632939,121.517124,Manhattan,False,2.084637482335058,18104.44427568908
g g caleca,house,650000,3,2,"23 Jackson St, Staten Island, NY 10304, USA",40.6306934,-74.0794192,113.155854,Staten Island,False,2.0536770266436664,5744.289641435607
buy for less,house,345000,3,2,"183-12 Elmira Ave, Jamaica, NY 11412, USA",40.701334,-73.772164,202.91946300338603,Queens,False,2.307323704350202,1700.1819090869717
compass,townhouse,7850000,5,4,"128 E 19th St, New York, NY 10003, USA",40.7366749,-73.9860561,562.99218,Manhattan,True,2.750502362513096,13943.355305574583
compass,multi family home,4999000,8,5,"458 W 51st St, New York, NY 10019, USA",40.764924,-73.9907911,382.76036,Manhattan,True,2.582926954379944,13060.391102150703
corcoran,house,4900000,4,2,"157 E 78th St, New York, NY 10075, USA",40.7742274,-73.9588396,287.9993,Manhattan,True,2.459391432181082,17013.93024219156
exit first choice,house,1578000,5,3,"67-27 181st St, Flushing, NY 11365, USA",40.7346802,-73.7905086,199.927256,Queens,False,2.3008720053411613,7892.8707949655445
skylight real estate consultan,house,715000,3,2,"194-11 112th Ave, Jamaica, NY 11412, USA",40.701497,-73.7613803,202.91946300338603,Queens,False,2.307323704350202,3523.5654057889415
compass,townhouse,600000,3,1,"40 Somers St # 2, Brooklyn, NY 11233, USA",40.6786381,-73.910662,202.91946300338603,Brooklyn,False,2.307323704350202,2956.8381027599507
nexthome prestige,house,850000,3,2,"101 Dalemere Rd, Staten Island, NY 10304, USA",40.5952951,-74.1039687,101.26427,Staten Island,False,2.0054562362874333,8393.878709637664
serhant,condo,1949000,2,2,"277 E 7th St APT 2, New York, NY 10009, USA",40.7234874,-73.976864,119.659064,Manhattan,False,2.077945601370603,16287.942884126187
neuhaus inc,multi family home,1599999,5,4,"160 Rathbun Ave, Staten Island, NY 10312, USA",40.5461245,-74.1826661,350.523019,Staten Island,False,2.544716543547805,4564.604642983519
weichert realtors evolution,house,640000,3,2,"58 Elmwood Ave, Staten Island, NY 10308, USA",40.542861,-74.154978,103.12233,Staten Island,False,2.013352717133467,6206.221290771843
jabour company,co op,329000,1,1,"9902 3rd Ave #2e, Brooklyn, NY 11209, USA",40.6141658,-74.0353827,70.977892,Brooklyn,False,1.8511230969224994,4635.246141150543
exp,multi family home,750000,4,2,"4325 Boyd Ave, Bronx, NY 10466, USA",40.8959494,-73.85177,217.39302,Bronx,False,2.3372455957569525,3449.972772814877
jabour company,house,1450000,4,4,"227 90th St, Brooklyn, NY 11209, USA",40.6212482,-74.0338909,162.208638,Brooklyn,False,2.2100739777163607,8939.104710317584
diamond real inc,condo,1999999,3,3,"70 Oceana Dr W Ph 1D, Brooklyn, NY 11235, USA",40.5770098,-73.958346,167.2254,Brooklyn,False,2.2233022434501155,11959.8996324721
better homes and gardens real estate safari,house,899888,4,2,"467 Maine Ave, Staten Island, NY 10314, USA",40.6215947,-74.1404429,202.993055,Staten Island,False,2.30748117965325,4433.097477152605
wrl,co op,379000,2,1,"78-16 Main St #1f, Flushing, NY 11367, USA",40.7194655,-73.8183058,83.6127,Queens,False,1.9222722477861345,4532.80422710904
neuhaus inc,multi family home,879000,4,2,"11 Edgewood Rd, Staten Island, NY 10308, USA",40.5452993,-74.1492507,169.455072,Staten Island,False,2.229054572339207,5187.215641441526
corcoran,co op,1030000,2,2,"217 E 96th St #29c, New York, NY 10128, USA",40.7849374,-73.9480901,100.05653099999999,Manhattan,False,2.000245441644791,10294.180596766842
redfin real estate,co op,699999,1,2,"11 W 81st St #1c, New York, NY 10024, USA",40.7826608,-73.9723737,202.91946300338603,Manhattan,False,2.307323704350202,3449.639525156438
exp,co op,388000,2,1,"67-66 108th St, Forest Hills, NY 11375, USA",40.7272034,-73.8471901,202.91946300338603,Queens,False,2.307323704350202,1912.0886397847682
brown harris stevens,condo,1750000,1,1,"114 E 13th St #3d, New York, NY 10003, USA",40.7330327,-73.9891825,87.050111,Manhattan,False,1.939769329234588,20103.363222592558
living ny main office,co op,995000,1,1,"111 N 9th St #2l, Brooklyn, NY 11249, USA",40.7201147,-73.9581256,202.91946300338603,Brooklyn,False,2.307323704350202,4903.423187076919
guru real estate services,house,599999,5,4,"145-37 115th Ave, Jamaica, NY 11436, USA",40.6836616,-73.7970345,202.91946300338603,Queens,False,2.307323704350202,2956.8331746964463
brown harris stevens,co op,300000,1,1,"209 W 118th St #2f, New York, NY 10026, USA",40.8050658,-73.9524985,202.91946300338603,Manhattan,False,2.307323704350202,1478.4190513799754
winzone inc,co op,389000,1,1,"4410 Ketcham St #5b, Queens, NY 11373, USA",40.7427717,-73.8796707,83.6127,Queens,False,1.9222722477861345,4652.403283233289
douglas elliman,co op,875000,1,2,"750 Park Ave #9b, New York, NY 10021, USA",40.7710157,-73.9642556,202.91946300338603,Manhattan,False,2.307323704350202,4312.0555665249285
compass,condo,3000000,3,3,"418 E 59th St, New York, NY 10022, USA",40.7590132,-73.9612618,195.09629999999999,Manhattan,False,2.290249033080729,15377.021501689167
morris park,multi family home,850000,3,2,"1626 Research Ave, Bronx, NY 10465, USA",40.8467388,-73.8189548,203.829182,Bronx,False,2.309266361585502,4170.158520284892
coldwell banker,townhouse,3595000,5,4,"549 W 149th St, New York, NY 10031, USA",40.828721,-73.947403,434.321525,Manhattan,True,2.637811353555346,8277.277991230114
realty network of n y corp,house,925000,3,2,"50-02 60th St, Queens, NY 11377, USA",40.737003,-73.904942,202.91946300338603,Queens,False,2.307323704350202,4558.458741754925
keystone usa corp,house,799000,5,3,"112-20 210th St, Queens Village, NY 11429, USA",40.7039425,-73.7459355,202.91946300338603,Queens,False,2.307323704350202,3937.5227401753345
east coast realtors inc,house,1880000,3,5,"143-40 Poplar Ave, Flushing, NY 11355, USA",40.7492709,-73.8119666,178.37376,Queens,False,2.251330967050359,10539.66682094945
compass,co op,375000,3,1,"517 W 48th St Apartment 2rw, New York, NY 10036, USA",40.764038,-73.993548,202.91946300338603,Manhattan,False,2.307323704350202,1848.0238142249693
re/max,co op,269000,1,1,"130 Bay Ridge Pkwy #4h, Brooklyn, NY 11209, USA",40.632218,-74.0321902,58.064375,Brooklyn,False,1.763909755690885,4632.789038028912
keller williams,house,4500000,6,4,"147-21 14th Ave, Whitestone, NY 11357, USA",40.7880839,-73.8180817,202.91946300338603,Queens,True,2.307323704350202,22176.285770699633
fave inc,house,589000,3,2,"1316 Dumont Ave, Brooklyn, NY 11208, USA",40.6697595,-73.8692311,104.05136,Brooklyn,False,2.0172477610169914,5660.666040309324
re/max,co op,239000,1,1,"1720 E 13th St #1c, Brooklyn, NY 11229, USA",40.6073781,-73.9601827,65.0321,Brooklyn,False,1.8131277783610664,3675.108138903711
century homes,co op,385000,1,1,"35-40 82nd St #2a, Flushing, NY 11372, USA",40.7505242,-73.8847507,202.91946300338603,Queens,False,2.307323704350202,1897.3044492709685
sotheby's,condo,1000000,1,1,"18 W 48th St #9c, New York, NY 10036, USA",40.7574596,-73.9793586,71.814019,Manhattan,False,1.8562092322651345,13924.85776349601
all area brokerage inc,co op,130000,3,1,"87-15 165th St #4b, Jamaica, NY 11432, USA",40.7104509,-73.7982064,202.91946300338603,Queens,False,2.307323704350202,640.6482555979894
exp,house,798000,3,2,"58-13 Waldron St, Flushing, NY 11368, USA",40.7392555,-73.8523054,70.60628,Queens,False,1.8488433306276009,11302.110803741538
douglas elliman,co op,495000,1,1,"54 E 1st St #2c, New York, NY 10003, USA",40.7238926,-73.9893733,202.91946300338603,Manhattan,False,2.307323704350202,2439.3914347769596
b square,condo,555000,1,1,"15815 Union Tpke #411n, Flushing, NY 11366, USA",40.7206509,-73.808539,60.294047,Queens,False,1.7802744351471789,9204.888834216088
sotheby's,co op,1274000,3,2,"111 E 36th St #5a, New York, NY 10016, USA",40.7482245,-73.9795398,202.91946300338603,Manhattan,False,2.307323704350202,6278.352904860296
prime,co op,349000,2,1,"83-75 118th St #2i, Jamaica, NY 11415, USA",40.7052273,-73.8336358,202.91946300338603,Queens,False,2.307323704350202,1719.8941631053715
corcoran,house,2500000,3,2,"1203 8th Ave, Brooklyn, NY 11215, USA",40.6637132,-73.9806843,202.91946300338603,Brooklyn,False,2.307323704350202,12320.158761499795
brown harris stevens,townhouse,2495000,8,8,"211 W 252nd St, Bronx, NY 10471, USA",40.8980177,-73.8977004,499.260722,Bronx,False,2.6983274004439592,4997.38891937107
exp,co op,749900,3,1,"51 W 106th St #3d, New York, NY 10025, USA",40.798921,-73.961553,77.10949,Manhattan,False,1.8871078307228835,9725.132405881559
jm,house,1399900,4,4,"292 Raritan Ave, Staten Island, NY 10305, USA",40.5900537,-74.0906619,292.55154699999997,Staten Island,False,2.4662023989833535,4785.139625325584
kms  inc,condo,948888,2,2,"115 96th St #6a, Brooklyn, NY 11209, USA",40.6163216,-74.0374941,88.25785,Brooklyn,False,1.9457533436356573,10751.315605354084
american dream homes inc,house,475000,3,2,"912 Cranford Ave, Bronx, NY 10466, USA",40.9034885,-73.8435964,118.91584,Bronx,False,2.075239707994678,3994.4216010247246
compass,condo,2595000,3,3,"200 E 94th St APT 2610, New York, NY 10128, USA",40.7833546,-73.9499982,134.616447,Manhattan,False,2.1290981238179842,19276.990723132072
robert defalco inc,multi family home,1199000,3,1,"354 Buel Ave, Staten Island, NY 10305, USA",40.5837427,-74.0909372,253.253578,Staten Island,False,2.4035555898454644,4734.38523344377
compass,condo,750000,1,1,"129 Meserole St #3b, Brooklyn, NY 11206, USA",40.708157,-73.944452,60.758562,Brooklyn,False,1.783607486671077,12343.939278878917
e house mgt inc,condo,713000,2,2,"217 Bay 49th St #3a, Brooklyn, NY 11214, USA",40.5855131,-73.9883977,96.61912,Brooklyn,False,1.98506307764559,7379.491761051022
charles rutenberg inc,co op,300000,1,1,"6409 39th Ave Apt 1, Woodside, NY 11377, USA",40.7464499,-73.89982,202.91946300338603,Queens,False,2.307323704350202,1478.4190513799754
compass,co op,2695000,3,3,"316 W 79th St Apt 7e, New York, NY 10024, USA",40.7843128,-73.9814804,202.91946300338603,Manhattan,False,2.307323704350202,13281.131144896779
keller williams,co op,450000,2,2,"254-15 74th Ave #1st, Glen Oaks, NY 11004, USA",40.7475547,-73.718359,202.91946300338603,Queens,False,2.307323704350202,2217.6285770699633
corcoran,co op,699000,1,1,"760 West End Ave #6c, New York, NY 10025, USA",40.7959993,-73.9723278,202.91946300338603,Manhattan,False,2.307323704350202,3444.7163897153428
garfield leslie j co inc,townhouse,10950000,8,8,"350 West End Ave, New York, NY 10024, USA",40.7826176,-73.9820502,887.688165,Manhattan,True,2.948260429737841,12335.412853003396
sotheby's,co op,225000,1,1,"269-10 Grand Central Pkwy, Queens, NY 11005, USA",40.7577974,-73.7159601,202.91946300338603,Queens,False,2.307323704350202,1108.8142885349816
douglas elliman,condo,5925000,3,4,"30 Front St #15a, Brooklyn, NY 11201, USA",40.7022,-73.990838,235.880717,Brooklyn,True,2.3726924392205317,25118.62807335794
signature premier,co op,255000,1,1,"245-18 62nd Ave, Douglaston, NY 11362, USA",40.755562,-73.7316684,202.91946300338603,Queens,False,2.307323704350202,1256.656193672979
toscana property,multi family home,2500000,12,2,"1694 64th St, Brooklyn, NY 11204, USA",40.6210191,-73.9921739,384.61842,Brooklyn,False,2.5850300794677086,6499.94870240484
exit first choice,house,2095000,4,4,"166-21 Goethals Ave, Jamaica, NY 11432, USA",40.7200361,-73.8007029,299.426369,Queens,False,2.476290043859144,6996.71176922965
nest seekers  midtown,house,10250000,7,6,"1211 Park Ave, New York, NY 10128, USA",40.7854792,-73.9528586,483.0956,Manhattan,True,2.684033081981609,21217.332552811495
corcoran,co op,750000,1,1,"200 Congress St #5d, Brooklyn, NY 11201, USA",40.6880273,-73.9950123,202.91946300338603,Brooklyn,False,2.307323704350202,3696.0476284499387
brown harris stevens,townhouse,2999000,9,8,"1937 Madison Ave, New York, NY 10035, USA",40.8052328,-73.9407352,516.54068,Manhattan,False,2.713104529928867,5805.931877427351
